Incident_ID,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
2656,China,2017,Phishing,Government,38.87,168075,Insider,Social Engineering,AI-based Detection,52
2938,Russia,2020,Ransomware,IT,36.9,809153,Nation-state,Social Engineering,AI-based Detection,48
445,UK,2021,Phishing,Retail,56.53,542850,Nation-state,Zero-day,Antivirus,41
2939,Brazil,2016,Ransomware,Education,5.51,740421,Unknown,Social Engineering,Encryption,59
755,Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44
924,UK,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15
2971,India,2019,DDoS,Banking,14.98,849664,Unknown,Social Engineering,Antivirus,40
2103,Japan,2020,Malware,IT,80.49,661385,Hacker Group,Zero-day,Encryption,26
312,France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63
549,UK,2020,SQL Injection,Education,35.57,386093,Unknown,Unpatched Software,VPN,42
1946,China,2021,DDoS,Healthcare,38.67,340194,Unknown,Weak Passwords,VPN,44
1457,China,2023,Phishing,IT,43.58,169152,Nation-state,Unpatched Software,Encryption,49
307,Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,Weak Passwords,Antivirus,66
288,Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43
695,China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72
309,UK,2015,DDoS,Government,11.68,890414,Nation-state,Unpatched Software,AI-based Detection,28
2321,Australia,2017,Malware,Retail,9.25,692167,Unknown,Weak Passwords,Encryption,70
750,UK,2021,Man-in-the-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16
2816,France,2021,Malware,Education,55.66,21833,Hacker Group,Zero-day,Encryption,2
1240,UK,2019,SQL Injection,Telecommunications,39.58,483585,Unknown,Unpatched Software,Encryption,13
909,Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42
1881,Australia,2016,DDoS,Retail,2.96,990886,Insider,Weak Passwords,AI-based Detection,59
2381,China,2017,Man-in-the-Middle,Banking,62.39,855974,Unknown,Social Engineering,VPN,44
1407,China,2023,Man-in-the-Middle,Education,49.53,923445,Hacker Group,Unpatched Software,VPN,42
2495,Russia,2021,Man-in-the-Middle,Banking,44.32,634390,Unknown,Zero-day,Antivirus,54
971,Japan,2022,SQL Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54
14,France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35
874,USA,2016,Ransomware,Retail,9.82,610968,Unknown,Unpatched Software,Antivirus,26
809,Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39
2579,UK,2018,Ransomware,IT,61.42,211305,Hacker Group,Zero-day,Encryption,27
515,Brazil,2018,Malware,Education,5.27,850056,Hacker Group,Weak Passwords,VPN,65
2414,India,2018,Ransomware,Retail,26.01,732636,Hacker Group,Zero-day,VPN,3
410,India,2019,Ransomware,Telecommunications,32.08,429224,Unknown,Social Engineering,AI-based Detection,56
2834,India,2022,SQL Injection,Government,53.89,633626,Nation-state,Social Engineering,Antivirus,54
2260,UK,2021,Phishing,Banking,88.38,281387,Hacker Group,Social Engineering,Firewall,55
2824,Russia,2023,DDoS,Banking,78.71,315219,Unknown,Social Engineering,Antivirus,30
1226,USA,2015,Man-in-the-Middle,Education,37.18,270984,Nation-state,Zero-day,Encryption,28
1656,China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32
1611,China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59
383,India,2024,Man-in-the-Middle,Government,62.06,321158,Insider,Zero-day,VPN,37
2107,USA,2017,Ransomware,Government,89.9,828963,Unknown,Zero-day,Firewall,2
2188,Russia,2018,Malware,Telecommunications,65.81,213558,Unknown,Unpatched Software,Antivirus,37
1622,UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47
2832,UK,2017,DDoS,Education,40.18,148447,Insider,Zero-day,AI-based Detection,39
553,Japan,2017,SQL Injection,Healthcare,7.31,191328,Insider,Weak Passwords,Encryption,51
223,Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57
1097,Russia,2020,Ransomware,IT,33.61,807918,Hacker Group,Social Engineering,Antivirus,37
2755,Germany,2024,Phishing,Telecommunications,36.34,887186,Insider,Weak Passwords,Antivirus,8
9,India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47
1477,Germany,2017,Ransomware,Healthcare,32.0,175755,Insider,Weak Passwords,Firewall,30
317,Brazil,2021,Man-in-the-Middle,IT,97.37,966570,Nation-state,Weak Passwords,Antivirus,32
428,Germany,2022,SQL Injection,IT,6.31,742273,Hacker Group,Zero-day,AI-based Detection,67
1986,Russia,2015,Phishing,Banking,4.59,720643,Unknown,Social Engineering,Firewall,19
106,Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41
2016,India,2017,Man-in-the-Middle,IT,68.68,725608,Insider,Zero-day,AI-based Detection,15
143,USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31
122,Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40
2372,Japan,2023,SQL Injection,Government,13.51,772948,Unknown,Zero-day,VPN,43
2866,USA,2015,DDoS,Banking,98.39,306320,Insider,Unpatched Software,AI-based Detection,41
1190,USA,2015,DDoS,IT,45.91,772018,Hacker Group,Weak Passwords,Encryption,46
2962,Russia,2019,SQL Injection,Telecommunications,14.15,639630,Insider,Unpatched Software,Encryption,31
2601,Germany,2017,Ransomware,Telecommunications,49.56,119598,Insider,Unpatched Software,Encryption,43
1658,UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7
116,Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29
1406,India,2017,Malware,IT,22.04,210495,Insider,Weak Passwords,Firewall,18
1512,China,2018,Man-in-the-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10
2493,China,2023,SQL Injection,IT,53.21,620822,Unknown,Zero-day,Firewall,21
2798,USA,2016,DDoS,Education,48.83,231299,Unknown,Unpatched Software,Encryption,58
2949,China,2021,Phishing,Telecommunications,76.26,756305,Nation-state,Weak Passwords,VPN,45
1597,India,2023,SQL Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66
2890,India,2024,SQL Injection,IT,8.85,746862,Nation-state,Unpatched Software,Encryption,51
673,Russia,2017,Ransomware,Telecommunications,65.18,329972,Nation-state,Unpatched Software,Firewall,48
1432,Russia,2022,DDoS,Healthcare,58.93,104121,Hacker Group,Zero-day,Firewall,15
2173,China,2024,Ransomware,Government,24.43,693509,Nation-state,Unpatched Software,Firewall,70
592,India,2024,DDoS,Retail,35.47,342575,Insider,Social Engineering,Firewall,49
1403,Brazil,2019,DDoS,Healthcare,42.16,400214,Unknown,Zero-day,Firewall,58
889,France,2021,SQL Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28
1755,Russia,2017,Malware,Government,2.65,500857,Hacker Group,Zero-day,VPN,35
1367,Japan,2022,Man-in-the-Middle,Government,39.87,243600,Unknown,Weak Passwords,AI-based Detection,40
2397,France,2024,SQL Injection,Telecommunications,48.77,336356,Hacker Group,Unpatched Software,Encryption,2
214,UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43
2008,UK,2023,DDoS,Government,34.8,48515,Hacker Group,Social Engineering,Encryption,50
2149,Brazil,2023,Man-in-the-Middle,Education,27.58,171936,Hacker Group,Weak Passwords,VPN,70
801,China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47
2481,UK,2017,Malware,Banking,11.25,636273,Insider,Zero-day,Antivirus,30
2440,Brazil,2020,SQL Injection,Education,50.41,350295,Insider,Unpatched Software,Encryption,5
2284,UK,2020,SQL Injection,IT,87.48,53147,Nation-state,Social Engineering,Antivirus,9
2663,China,2022,SQL Injection,Banking,1.16,297461,Hacker Group,Zero-day,Firewall,15
2712,Germany,2016,Man-in-the-Middle,Government,58.93,249279,Unknown,Weak Passwords,VPN,58
274,Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53
72,USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66
1790,USA,2016,Malware,Banking,36.2,194553,Hacker Group,Social Engineering,AI-based Detection,48
1088,USA,2022,SQL Injection,IT,8.5,523164,Hacker Group,Weak Passwords,AI-based Detection,30
395,UK,2024,Phishing,Retail,89.31,376586,Unknown,Weak Passwords,AI-based Detection,51
584,China,2024,DDoS,Healthcare,53.53,371685,Unknown,Social Engineering,VPN,34
2081,USA,2017,Man-in-the-Middle,Healthcare,54.54,892665,Insider,Unpatched Software,VPN,31
1981,UK,2017,DDoS,Government,65.57,478549,Hacker Group,Weak Passwords,Antivirus,37
501,USA,2023,Ransomware,IT,34.94,632075,Insider,Social Engineering,Encryption,64
2015,Brazil,2021,Phishing,Government,42.82,974362,Insider,Unpatched Software,Encryption,70
2224,China,2015,Man-in-the-Middle,Healthcare,66.13,946668,Hacker Group,Unpatched Software,Encryption,67
2980,China,2022,Malware,Education,35.05,596468,Insider,Unpatched Software,VPN,29
2741,India,2023,DDoS,Retail,26.01,274512,Insider,Weak Passwords,AI-based Detection,69
2319,India,2021,Ransomware,Education,86.73,534013,Unknown,Unpatched Software,Firewall,49
1260,Australia,2016,Man-in-the-Middle,Government,35.59,729762,Insider,Social Engineering,VPN,6
1743,Brazil,2015,SQL Injection,IT,86.67,694491,Unknown,Unpatched Software,Firewall,65
206,UK,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17
734,Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56
2503,Germany,2023,Man-in-the-Middle,Banking,92.48,1326,Nation-state,Social Engineering,Antivirus,11
527,India,2023,SQL Injection,IT,92.35,380022,Unknown,Unpatched Software,Encryption,30
1376,Russia,2022,Ransomware,Telecommunications,89.33,776295,Unknown,Zero-day,VPN,40
899,UK,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51
378,Australia,2020,Phishing,Government,92.5,34011,Insider,Unpatched Software,Firewall,9
1727,UK,2020,Ransomware,Banking,98.07,795120,Unknown,Social Engineering,Firewall,42
2683,USA,2016,DDoS,Healthcare,30.49,723411,Hacker Group,Weak Passwords,AI-based Detection,40
2723,UK,2019,Man-in-the-Middle,IT,35.37,384185,Insider,Weak Passwords,Firewall,71
387,Japan,2024,Phishing,Education,72.2,555808,Unknown,Weak Passwords,AI-based Detection,4
199,Russia,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29
1051,Japan,2018,SQL Injection,Retail,51.58,65700,Hacker Group,Zero-day,Encryption,28
591,UK,2020,DDoS,Retail,86.0,809209,Unknown,Social Engineering,Encryption,26
520,Germany,2015,DDoS,Retail,7.84,323011,Nation-state,Social Engineering,Encryption,25
2951,Japan,2022,Malware,Education,17.3,893060,Unknown,Social Engineering,Encryption,19
430,China,2024,DDoS,Government,69.28,890675,Hacker Group,Unpatched Software,Firewall,5
1084,France,2023,DDoS,Retail,92.32,418211,Insider,Unpatched Software,Encryption,39
208,UK,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48
492,UK,2017,Ransomware,Retail,47.91,153257,Insider,Zero-day,Encryption,59
1610,China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17
2913,Australia,2016,DDoS,Education,93.39,630087,Nation-state,Social Engineering,VPN,72
793,China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56
2020,USA,2018,Phishing,Banking,29.35,724633,Hacker Group,Weak Passwords,Encryption,26
1187,Russia,2023,DDoS,Telecommunications,96.61,956064,Insider,Weak Passwords,Antivirus,45
1186,Brazil,2018,Man-in-the-Middle,Retail,76.39,984,Insider,Unpatched Software,Firewall,56
2182,France,2018,Ransomware,Education,32.5,414904,Nation-state,Unpatched Software,VPN,53
1341,Australia,2017,Phishing,Retail,56.1,450205,Unknown,Zero-day,Firewall,32
2233,France,2017,Man-in-the-Middle,Healthcare,34.43,927694,Insider,Social Engineering,VPN,43
84,Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54
2370,Russia,2015,Ransomware,IT,49.3,879875,Insider,Zero-day,Encryption,61
2227,Australia,2022,Ransomware,Government,10.84,564944,Insider,Social Engineering,Antivirus,58
21,Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43
1379,India,2015,Ransomware,Government,56.3,59582,Nation-state,Unpatched Software,VPN,56
1559,India,2017,Ransomware,Government,89.47,201732,Unknown,Zero-day,Antivirus,39
1939,UK,2017,Man-in-the-Middle,Telecommunications,89.07,932075,Unknown,Unpatched Software,Firewall,72
2838,Russia,2018,SQL Injection,Education,40.59,598151,Nation-state,Unpatched Software,AI-based Detection,34
1938,Germany,2017,Ransomware,Education,76.96,950276,Hacker Group,Unpatched Software,Firewall,31
974,Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59
2790,China,2019,DDoS,Banking,33.88,761910,Hacker Group,Zero-day,Antivirus,27
884,France,2018,DDoS,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4
1099,Russia,2015,Ransomware,IT,41.79,7290,Insider,Weak Passwords,AI-based Detection,32
157,Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12
2277,Russia,2022,Malware,Retail,71.15,258554,Unknown,Social Engineering,AI-based Detection,72
887,China,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44
2999,UK,2022,SQL Injection,IT,32.17,379954,Insider,Unpatched Software,Firewall,9
1592,USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55
2479,Australia,2024,Man-in-the-Middle,Healthcare,93.4,833819,Insider,Unpatched Software,Antivirus,14
2718,UK,2016,SQL Injection,Retail,17.98,251689,Nation-state,Social Engineering,Antivirus,1
2535,Russia,2017,DDoS,Education,50.42,690010,Nation-state,Weak Passwords,Firewall,18
2118,Australia,2019,Man-in-the-Middle,Retail,60.04,366318,Nation-state,Unpatched Software,VPN,35
1473,France,2019,Man-in-the-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55
2649,Germany,2024,Ransomware,IT,33.44,737958,Hacker Group,Social Engineering,Encryption,54
459,Germany,2024,DDoS,Retail,38.65,197609,Nation-state,Social Engineering,VPN,15
2499,Japan,2015,Malware,Telecommunications,40.38,118734,Insider,Unpatched Software,AI-based Detection,21
79,Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40
2915,France,2021,Ransomware,IT,58.86,935319,Nation-state,Social Engineering,Antivirus,25
1057,China,2018,Malware,Education,97.2,499651,Nation-state,Zero-day,Encryption,50
907,India,2018,Ransomware,IT,27.14,227433,Unknown,Unpatched Software,Antivirus,13
1564,Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33
2427,Russia,2022,SQL Injection,Government,69.09,474183,Insider,Weak Passwords,Antivirus,27
2697,Russia,2018,Malware,Telecommunications,89.79,900723,Insider,Zero-day,Firewall,32
381,Germany,2019,Malware,Banking,79.24,862136,Hacker Group,Zero-day,VPN,44
948,Brazil,2019,Man-in-the-Middle,Government,76.39,311908,Unknown,Weak Passwords,Encryption,68
1713,China,2018,SQL Injection,Education,15.36,907858,Nation-state,Social Engineering,Encryption,47
2757,India,2016,Malware,IT,34.78,294587,Unknown,Social Engineering,AI-based Detection,43
716,Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53
1914,UK,2021,Malware,Telecommunications,77.18,347426,Hacker Group,Zero-day,Antivirus,36
687,Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67
2671,Australia,2022,Man-in-the-Middle,Government,90.65,898589,Hacker Group,Zero-day,AI-based Detection,58
1294,USA,2020,Phishing,Healthcare,39.92,376443,Insider,Zero-day,Antivirus,20
306,Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978,Nation-state,Weak Passwords,VPN,41
210,Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58
2012,Russia,2017,Ransomware,Healthcare,16.77,924837,Hacker Group,Unpatched Software,Firewall,62
2222,Australia,2024,Man-in-the-Middle,Education,86.52,915463,Insider,Weak Passwords,Antivirus,2
2976,Japan,2015,Man-in-the-Middle,Telecommunications,95.8,23469,Insider,Zero-day,Firewall,64
1538,China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27
886,USA,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35
1860,China,2021,Phishing,Education,70.2,631101,Unknown,Zero-day,Firewall,36
918,USA,2018,DDoS,IT,82.13,220618,Unknown,Weak Passwords,Firewall,59
1887,Russia,2019,Malware,Banking,55.42,945465,Unknown,Weak Passwords,Firewall,5
1661,Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35
192,Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71
1748,Japan,2017,Phishing,Telecommunications,89.85,44385,Hacker Group,Weak Passwords,AI-based Detection,18
2132,China,2020,SQL Injection,Banking,80.98,708357,Unknown,Weak Passwords,Antivirus,49
1266,Brazil,2023,Phishing,Retail,42.69,309021,Unknown,Unpatched Software,Encryption,2
484,Germany,2023,Malware,Banking,70.19,791366,Unknown,Unpatched Software,Firewall,61
916,Australia,2017,Man-in-the-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2
2600,Russia,2016,Malware,Telecommunications,52.2,279065,Hacker Group,Unpatched Software,VPN,62
278,India,2019,Man-in-the-Middle,Education,27.45,633466,Unknown,Zero-day,AI-based Detection,16
989,Russia,2018,SQL Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26
1988,USA,2021,Phishing,Retail,95.86,671335,Hacker Group,Zero-day,Antivirus,62
1895,Japan,2023,Ransomware,Retail,95.3,986882,Hacker Group,Weak Passwords,Encryption,45
1870,Brazil,2024,SQL Injection,Healthcare,69.57,269458,Insider,Zero-day,Firewall,15
572,USA,2020,DDoS,Education,52.7,541631,Unknown,Zero-day,AI-based Detection,30
994,Australia,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14
2796,France,2021,Ransomware,IT,99.77,533151,Nation-state,Zero-day,Antivirus,43
2947,Russia,2020,Ransomware,Telecommunications,48.68,459635,Insider,Unpatched Software,Antivirus,49
586,Australia,2024,Man-in-the-Middle,Telecommunications,31.68,376612,Nation-state,Unpatched Software,VPN,27
2329,Australia,2024,DDoS,Retail,28.16,411083,Unknown,Weak Passwords,Firewall,30
2994,Germany,2017,SQL Injection,Education,54.98,786577,Insider,Unpatched Software,Firewall,70
1350,UK,2018,Ransomware,Healthcare,60.01,193378,Unknown,Unpatched Software,Encryption,32
2901,India,2016,Ransomware,IT,43.65,340213,Nation-state,Zero-day,Antivirus,15
675,USA,2022,Ransomware,Government,33.71,135105,Unknown,Unpatched Software,VPN,48
2591,USA,2017,DDoS,Government,98.73,17805,Nation-state,Weak Passwords,Antivirus,31
856,UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42
448,Brazil,2023,SQL Injection,Healthcare,47.59,933271,Insider,Unpatched Software,Antivirus,30
1420,UK,2016,Ransomware,Banking,92.39,61764,Hacker Group,Social Engineering,Encryption,38
2230,Russia,2020,DDoS,Government,41.45,496378,Insider,Unpatched Software,AI-based Detection,42
1617,China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11
2259,Australia,2020,Phishing,Education,85.79,905386,Hacker Group,Zero-day,Firewall,17
2822,Brazil,2024,Ransomware,Healthcare,60.13,887531,Hacker Group,Social Engineering,Encryption,51
2754,China,2021,DDoS,Telecommunications,84.09,954379,Insider,Social Engineering,VPN,59
1717,USA,2023,SQL Injection,Government,89.46,59398,Hacker Group,Zero-day,Antivirus,8
2672,Japan,2024,Malware,Telecommunications,30.66,430306,Nation-state,Weak Passwords,VPN,67
1248,Brazil,2018,DDoS,Retail,1.58,100633,Insider,Zero-day,Encryption,53
295,Germany,2024,Ransomware,Education,11.81,418893,Insider,Social Engineering,Firewall,31
589,USA,2023,DDoS,Healthcare,5.32,463332,Unknown,Weak Passwords,Encryption,16
1282,France,2020,Ransomware,Healthcare,37.36,745273,Insider,Zero-day,Firewall,67
1423,Germany,2017,Ransomware,Retail,91.67,80135,Hacker Group,Social Engineering,AI-based Detection,35
2350,UK,2021,DDoS,IT,70.49,530341,Insider,Social Engineering,VPN,40
1427,Australia,2020,SQL Injection,Telecommunications,43.69,269137,Unknown,Unpatched Software,AI-based Detection,18
2253,China,2020,DDoS,Healthcare,6.32,682445,Nation-state,Social Engineering,Firewall,20
426,UK,2020,Phishing,Healthcare,3.02,510974,Unknown,Weak Passwords,Encryption,16
535,UK,2020,Ransomware,Banking,16.91,952504,Hacker Group,Zero-day,AI-based Detection,45
1055,Russia,2024,Malware,Education,83.29,143037,Insider,Unpatched Software,Firewall,47
1865,China,2017,Malware,Education,47.46,783239,Unknown,Social Engineering,VPN,41
2505,Germany,2016,Phishing,Government,93.61,395731,Insider,Unpatched Software,AI-based Detection,64
1426,Japan,2021,Ransomware,Government,79.25,437649,Hacker Group,Weak Passwords,Firewall,10
133,Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32
1838,UK,2020,Malware,Retail,10.94,675338,Hacker Group,Weak Passwords,VPN,54
1826,Australia,2021,Malware,IT,84.74,391257,Hacker Group,Zero-day,AI-based Detection,66
422,Germany,2016,SQL Injection,Education,42.98,194633,Nation-state,Social Engineering,Antivirus,37
2659,USA,2017,Man-in-the-Middle,Banking,59.54,839892,Nation-state,Weak Passwords,Encryption,20
2029,USA,2020,Phishing,Government,37.3,617277,Insider,Social Engineering,Antivirus,4
2990,Brazil,2021,Ransomware,Education,18.11,849791,Nation-state,Unpatched Software,VPN,53
1369,India,2020,Ransomware,Healthcare,70.67,564046,Insider,Social Engineering,Firewall,39
557,Brazil,2024,Man-in-the-Middle,Telecommunications,27.13,943178,Nation-state,Weak Passwords,VPN,63
2044,Germany,2019,SQL Injection,Government,67.05,848517,Unknown,Unpatched Software,Antivirus,16
1487,China,2017,DDoS,Government,57.34,171772,Nation-state,Social Engineering,Firewall,8
2680,India,2023,Ransomware,Banking,42.02,827952,Hacker Group,Unpatched Software,AI-based Detection,21
571,France,2021,Malware,Retail,3.44,887718,Insider,Zero-day,Antivirus,55
353,Brazil,2018,DDoS,Telecommunications,82.05,322527,Nation-state,Weak Passwords,Firewall,46
92,UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3
2563,UK,2019,Malware,IT,68.54,791265,Hacker Group,Social Engineering,Firewall,65
2534,France,2019,Phishing,Healthcare,52.18,869751,Insider,Zero-day,Firewall,12
1171,India,2018,SQL Injection,Education,77.02,424342,Unknown,Social Engineering,Antivirus,57
2249,Brazil,2017,DDoS,Education,29.76,913276,Insider,Social Engineering,Encryption,57
1286,India,2015,Ransomware,Banking,81.81,41635,Nation-state,Unpatched Software,Encryption,37
1703,Brazil,2022,SQL Injection,Healthcare,56.63,242677,Insider,Social Engineering,Encryption,21
1469,Japan,2019,DDoS,Healthcare,68.4,567370,Insider,Unpatched Software,VPN,9
1908,Brazil,2020,DDoS,Education,26.57,384988,Insider,Zero-day,AI-based Detection,19
1478,Brazil,2023,DDoS,Education,50.34,897521,Nation-state,Social Engineering,AI-based Detection,19
698,China,2018,Phishing,Healthcare,20.22,363934,Insider,Weak Passwords,Firewall,24
2507,Australia,2021,Malware,Healthcare,74.61,357205,Nation-state,Weak Passwords,Antivirus,21
349,France,2017,DDoS,IT,20.44,618269,Nation-state,Weak Passwords,VPN,48
1645,China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12
2347,Brazil,2020,SQL Injection,Banking,68.05,912770,Unknown,Zero-day,AI-based Detection,67
2432,UK,2019,SQL Injection,Healthcare,65.47,263110,Insider,Social Engineering,Firewall,6
2169,Brazil,2019,SQL Injection,Healthcare,91.03,86583,Unknown,Social Engineering,Firewall,47
1138,USA,2021,DDoS,Education,87.32,315915,Nation-state,Social Engineering,Antivirus,52
1798,Australia,2017,Malware,Banking,92.65,817255,Hacker Group,Weak Passwords,Antivirus,62
1545,Brazil,2023,SQL Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72
2837,Germany,2018,Ransomware,Education,90.48,901880,Unknown,Social Engineering,VPN,16
2821,UK,2024,Phishing,Banking,66.65,170892,Unknown,Zero-day,AI-based Detection,47
1340,Germany,2023,Malware,Retail,62.43,918454,Unknown,Unpatched Software,Firewall,15
2491,Russia,2019,Ransomware,Retail,19.97,722544,Hacker Group,Social Engineering,Encryption,14
454,India,2017,DDoS,Government,75.52,352250,Insider,Zero-day,VPN,39
914,Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31
1200,USA,2015,SQL Injection,Retail,26.98,763017,Insider,Social Engineering,Firewall,24
1275,Russia,2024,SQL Injection,Education,99.31,362492,Insider,Weak Passwords,AI-based Detection,63
1867,Germany,2015,DDoS,Telecommunications,31.68,33098,Hacker Group,Zero-day,AI-based Detection,8
38,Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12
975,Australia,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68
2771,Brazil,2023,SQL Injection,Healthcare,76.58,626352,Hacker Group,Social Engineering,Encryption,33
984,China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37
1806,India,2024,Malware,Healthcare,13.74,330581,Unknown,Zero-day,AI-based Detection,54
1962,Brazil,2018,DDoS,Healthcare,47.47,784099,Insider,Social Engineering,AI-based Detection,30
1419,Japan,2021,Malware,Education,76.8,607544,Nation-state,Weak Passwords,Encryption,56
1285,Brazil,2021,DDoS,Education,80.79,134998,Unknown,Zero-day,AI-based Detection,42
40,Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71
2541,USA,2024,Malware,Telecommunications,71.42,967411,Hacker Group,Social Engineering,AI-based Detection,47
170,Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15
1356,Brazil,2023,SQL Injection,Education,89.04,351850,Hacker Group,Social Engineering,Encryption,21
738,UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4
1591,Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38
2700,China,2019,Malware,Retail,26.66,303469,Insider,Social Engineering,VPN,60
1898,Japan,2020,Malware,Education,66.93,640603,Hacker Group,Unpatched Software,VPN,23
635,UK,2016,Malware,Telecommunications,3.76,678640,Insider,Zero-day,Encryption,44
2648,Brazil,2017,Man-in-the-Middle,Government,14.54,491794,Nation-state,Zero-day,Encryption,4
1919,Brazil,2016,SQL Injection,Telecommunications,13.94,832297,Nation-state,Weak Passwords,AI-based Detection,69
1291,USA,2023,Man-in-the-Middle,IT,88.81,762605,Nation-state,Unpatched Software,Encryption,53
1381,Russia,2024,Ransomware,Banking,80.29,507258,Nation-state,Social Engineering,Antivirus,30
